Institution,Project Name,Station,Location,Country,Site Name,Site ID,Site Code,Latitude,Longitude,Easting,Northing,Projection,Datum,Transect,Transect Dir.,Transect Length,Depth,Quad,Habitat,Water Qual.,Image Date,Image Time,Photographer,Camera,Lens,Analysis Date,Analysis Tech.,File Name,Image Name,Total Points,Point #,Class ID,ID Name,ID Code,Subcategory,Major Category,Notes,X,Y
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,16,1,Porites lobata,,Por,Coral,,914,1127
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,17,1,Porites lobata,,Por,Coral,,1191,2466
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,18,1,Porites lobata,,Por,Coral,,1803,1023
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,19,1,Porites lobata,,Por,Coral,,1718,889
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,20,1,Porites lobata,,Por,Coral,,2920,1117
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,21,1,Porites lobata,,Por,Coral,,1781,591
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,22,,Pocillopora dead,,DPoc,Dead Coral Algae,,3357,801
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,23,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,24,1,Porites lobata,,Por,Coral,,1284,758
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,25,1,Porites lobata,,Por,Coral,,2821,817
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,26,1,Pocillopora spp,,Poc,Coral,,1314,1978
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,27,1,Porites lobata,,Por,Coral,,1599,531
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,28,1,Porites lobata,,Por,Coral,,2805,1949
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,29,,Halimeda,,Hal,Algae,,1874,2294
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,30,1,Porites lobata,,Por,Coral,,2444,2329
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,31,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,32,1,Porites lobata,,Por,Coral,,2050,2416
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,33,1,Porites lobata,,Por,Coral,,1709,1999
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,34,1,Porites lobata,,Por,Coral,,2852,1718
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,35,1,Pocillopora spp,,Poc,Coral,,1590,2449
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,36,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,37,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,38,1,Pocillopora spp,,Poc,Coral,,2172,1559
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,39,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,40,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,41,1,Porites lobata,,Por,Coral,,1949,1624
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,42,1,Porites lobata,,Por,Coral,,1367,798
